gold_id,entry_id,page_id,occurrenceID,publish,withhold_reason,scientificName,verbatimIdentification,taxonRank,eventDate,entryDate,eventTime,recordedBy,individualCount,sex,occurrenceStatus,basisOfRecord,locality,verbatimLocality,geonames_id,geonames_ok,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,note
g001,L01-e0152,900847d2-aabe-4b16-b0e6-203b103bd1e1_0046_R,obs_ffbe8da961bc,yes,,Aythya ferina,Nyroca ferina ferina (L.) Tafelente,species,1915-05-25,1917-12-02,,Alfred Laubmann,1,male,present,HumanObservation,Maisinger See,See,2874169,yes,47.98023,11.28020,1000,"Ein ♂ am 25. Mai 1915. Eintrag geschrieben 2. Dezember 1917 (Nachtrag). See = Maisinger See bei Starnberg; OCR Mairinger See. GeoNames-Zentroid des Sees (H.LK), nicht der Standort des Vogels."
g002,L01-e0152,900847d2-aabe-4b16-b0e6-203b103bd1e1_0046_R,obs_5d54bf2bb90c,yes,,Aythya ferina,Nyroca ferina ferina (L.) Tafelente,species,1915-05-25,1917-12-02,10:00,Alfred Laubmann | Frau Laubmann,2,mixed,present,HumanObservation,Maisinger See,Schirm,2874169,yes,47.98023,11.28020,1000,"Am gleichen Tage morgens 10h noch ein ♂ und ♀, vom Beobachtungsschirm. Artname aus der Überschrift 2.). Schirm ist kein eigener Gazetteer-Punkt; Koordinaten bleiben der See."
g003,L01-e0153,900847d2-aabe-4b16-b0e6-203b103bd1e1_0048_L,obs_44648da13bed,no,specimen-without-catalog,Ficedula hypoleuca,Schwarzkehliger Fliegenschnäpper,species,1909-05-12,1917-12-07,,Alfred Laubmann,1,male,present,PreservedSpecimen,Umgebung von Kaufbeuren,Umgegend von Kaufbeuren,2892080,coarse,47.88238,10.62192,,"♂ Schwarzkehliger Fliegenschnäpper, Zool. Sammlung München, aus Laubmanns Sammlung, präpariert von Chr. Keine Katalognummer. GeoNames 2892080 ist die Stadt Kaufbeuren (2000 m), der Text sagt nur Umgebung: Punkt nicht für GBIF verwenden."
g004,L01-e0174,900847d2-aabe-4b16-b0e6-203b103bd1e1_0059_L,obs_6a555d0527da,no,no-date,Fulica atra,"Bläßhuhn, Fulica atra atra L.",species,Herbst 1909,1918-01-27,,Alfred Laubmann,,,present,HumanObservation,Einmündungsgebiet der Ammer,Einmündungsgebiet der Ammer,,no,,,,"Erinnerung an Diessen. Der Aufenthalt war Sommer und Herbst 1909, das Bläßhuhn namentlich an den Herbsttagen. Kein Kalendertag, deshalb nicht publizieren. eventDate hier der Wortlaut der Jahreszeit, nicht ISO. Seite beginnt mit dem Literatur-Kormoran des vorigen Eintrags. Maschine setzte das Schreibdatum 1918-01-27. Ammermündung ohne Gazetteer."
g005,L02-e0031,eacb54e7-a869-4ff1-8f05-51c63da838e1_0018_L,obs_3773d34a29b5,yes,,Buteo buteo,Bussard,species,1918-07-06,1918-07-06,,Alfred Laubmann,1,,present,HumanObservation,Hang im Gennachshauser Moos,Hang,,no,,,,"Seite ist Fortsetzung der Morgenexcursion. Erster vollständiger Vogel: ein Bussard von den Tannen am Hang. Gennachshauser Moos ohne Gazetteer. Feldlerche um 4,30h steht auf der vorigen Seite."
g006,L02-e0065,eacb54e7-a869-4ff1-8f05-51c63da838e1_0029_R,obs_c87c08c4e2f8,yes,,Phoenicurus ochruros,Hausrotschwänzchen,species,1918-09-10,1918-09-10,,Alfred Laubmann,,,present,HumanObservation,München,München,2867714,coarse,48.13743,11.57549,5000,"Oben auf der Seite noch Stare, Goldammern und Eichelhäher der vorigen Wanderung. Erster Satz des neuen Eintrags: Hausrotschwänzchen in der Morgenfrühe, ohne Zahl. Stadtzentrum, 5000 m."
g007,L02-e0100,eacb54e7-a869-4ff1-8f05-51c63da838e1_0037_R,obs_0007bd940b8c,yes,,Coccothraustes coccothraustes,Kernbeißer,species,1919-01-13,1919-01-13,,Alfred Laubmann,12,,present,HumanObservation,"Anlagen, München",Anlagen,2867714,coarse,48.13743,11.57549,,"Zwei Flüge, 2+3 und 7. Anlagen sind kein eigener Punkt; Stadtkoordinate nicht als Standort verwenden. Der Brief von Ries ab 15. Januar ist ein eigener Eintrag."
g008,L03-e0021,0ed30b8b-6194-418e-998b-092352aa1ed5_0011_L,,yes,,Gallinula chloropus,grünfüßiges Teichhuhn,species,1919-10-25,1919-10-25,,Alfred Laubmann,1,,present,HumanObservation,Horlach,Horlach,,no,,,,"Erster Vogel der Seite, Eintrag L03-e0021, nicht im Sample-Lauf, deshalb keine occurrenceID. GeoNames 2899002 ist ein anderes Horlach in Franken. Der Eintrag vom 27. Oktober beginnt erst unten und hat auf dieser Seite noch keinen Nachweis."
g009,L03-e0026,0ed30b8b-6194-418e-998b-092352aa1ed5_0013_R,obs_e9998c75d28f,yes,,Aegithalos caudatus,Schwanzmeisen,species,1919-11-03,1919-11-03,,Alfred Laubmann,,,present,HumanObservation,"Moos, Wertachauen",Moos,,no,,,,"Oben noch die Excursion des Vortags (5 Elstern). Erster Vogel des neuen Eintrags: ein Flug Schwanzmeisen beim Moos, ohne Zahl. Moos ohne Gazetteer."
g010,L03-e0399,0ed30b8b-6194-418e-998b-092352aa1ed5_0131_R,obs_bca48b7f83f0,no,literature,Ficedula parva,Zwergfliegenschnäpper,species,,1923-01-15,,Fr. Knirr,,,present,MaterialCitation,Reichenhall,Reichenhall,2953371,coarse,47.72947,12.87819,,"Gesangsbeschreibung aus einem Manuskript von Fr. Knirr, kein eigener Nachweis und kein Beobachtungstag. Stadtpunkt von Bad Reichenhall nicht verwenden."
